page_id	text	label	Pattern Category	clean_text	char_count	word_count
1428	 #CERTIFIED_FACE_MASKS 	0	Not Dark Pattern	#CERTIFIED_FACE_MASKS	21	1
1468	Shop the Look	0	Not Dark Pattern	Shop the Look	13	3
638	Kicks Remotes	0	Not Dark Pattern	Kicks Remotes	13	2
1414	Only 7 left in stock.	1	Scarcity	Only 7 left in stock.	21	5
414	Whey Protein Isolate	0	Not Dark Pattern	Whey Protein Isolate	20	3
1736	 Cases for Magsafe Refine by Product Type: Cases for Magsafe 	0	Not Dark Pattern	Cases for Magsafe Refine by Product Type: Cases for Magsafe	59	10
414	Product Info	0	Not Dark Pattern	Product Info	12	2
35	Someone from Norway purchased a Super FG Grater - 12x Faster - 15% OFF	1	Social Proof	Someone from Norway purchased a Super FG Grater - 12x Faster - 15% OFF	70	14
395	 Sign In With Google 	0	Not Dark Pattern	Sign In With Google	19	4
203	Shop All	0	Not Dark Pattern	Shop All	8	2
1119	 You can change your preference here Shop for Select an age 	0	Not Dark Pattern	You can change your preference here Shop for Select an age	58	11
1656	1 in Stock	1	Scarcity	1 in Stock	10	3
1590	 shop all 	0	Not Dark Pattern	shop all	8	2
1405	Low Stock Alert: Only 8 left in inventory	1	Scarcity	Low Stock Alert: Only 8 left in inventory	41	8
1536	Womens Platform Shoes	0	Not Dark Pattern	Womens Platform Shoes	21	3
767	Screen print graphics	0	Not Dark Pattern	Screen print graphics	21	3
149	IBKUL Solid Mock Neck Half Zip Pullover purchased from Clinton, MD, US 1 minute ago	1	Social Proof	IBKUL Solid Mock Neck Half Zip Pullover purchased from Clinton, MD, US 1 minute ago	83	15
395	Thin and tough - protects from minor scratches	0	Not Dark Pattern	Thin and tough - protects from minor scratches	46	8
361	Kimberly R.	0	Not Dark Pattern	Kimberly R.	11	2
432	I don't feel lucky	1	Misdirection	I don't feel lucky	18	4
1673	Only 3 items left	1	Scarcity	Only 3 items left	17	4
680	 Butterscotch Cakes 	0	Not Dark Pattern	Butterscotch Cakes	18	2
146	Someone in Saint Kilda, Victoria purchased Frank Queen Size Bed Base	1	Social Proof	Someone in Saint Kilda, Victoria purchased Frank Queen Size Bed Base	68	11
662	Awntech New Yorker Window/Entry Slope Awnin ...	0	Not Dark Pattern	Awntech New Yorker Window/Entry Slope Awnin ...	47	7
214	45 ADDED TO BAG IN THE PAST 24 HOURS	1	Social Proof	45 ADDED TO BAG IN THE PAST 24 HOURS	36	9
1147	87% offers claimed. Hurry up!	1	Scarcity	87% offers claimed. Hurry up!	29	5
1031	HURRY! £32.99 UK DELIVERY ENDS SOON	1	Urgency	HURRY! £32.99 UK DELIVERY ENDS SOON	35	6
1289	ONLY 3 LEFT	1	Scarcity	ONLY 3 LEFT	11	3
1386	8 items left	1	Scarcity	8 items left	12	3
137	19 people viewed this product per day	1	Social Proof	19 people viewed this product per day	37	7
1630	 Irwin 	0	Not Dark Pattern	Irwin	5	1
1102	96 ITEM(S) LEFT IN STOCK!	1	Scarcity	96 ITEM(S) LEFT IN STOCK!	25	5
117	__________	0	Not Dark Pattern	__________	10	1
1138	Only 1 left In Stock	1	Scarcity	Only 1 left In Stock	20	5
1536	Availability: Only 4 Left!	1	Scarcity	Availability: Only 4 Left!	26	4
680	 Personalised Gifts 	0	Not Dark Pattern	Personalised Gifts	18	2
1405	A customer service specialist will contact you soon.	0	Not Dark Pattern	A customer service specialist will contact you soon.	52	8
521	Your order is reserved for 09:54 minutes!	1	Urgency	Your order is reserved for 09:54 minutes!	41	7
1630	 Screws & Other Fixings 	0	Not Dark Pattern	Screws & Other Fixings	22	4
66	Use the domain shortly after payment	0	Not Dark Pattern	Use the domain shortly after payment	36	6
1459	Office Supplies & Decor	0	Not Dark Pattern	Office Supplies & Decor	23	4
1531	This size has only 1 left in stock	1	Scarcity	This size has only 1 left in stock	34	8
1468	Arrow	0	Not Dark Pattern	Arrow	5	1
1044	Returns an Item	0	Not Dark Pattern	Returns an Item	15	3
157	HOT PRODUCT Over 250 people are looking at this item.	1	Social Proof	HOT PRODUCT Over 250 people are looking at this item.	53	10
478	I don't want to save money	1	Misdirection	I don't want to save money	26	6
1135	HURRY! ONLY 2 LEFT IN STOCK!	1	Scarcity	HURRY! ONLY 2 LEFT IN STOCK!	28	6
230	Hair type: Curly	0	Not Dark Pattern	Hair type: Curly	16	3
745	DEAL ENDS IN 40:55:13	1	Urgency	DEAL ENDS IN 40:55:13	21	4
216	Someone bought: HYPE BLUE LARGE SPLAT KIDS LEGGINGS	1	Social Proof	Someone bought: HYPE BLUE LARGE SPLAT KIDS LEGGINGS	51	8
1171	Only 1 Left	1	Scarcity	Only 1 Left	11	3
198	Search for similiar products	0	Not Dark Pattern	Search for similiar products	28	4
1250	Only 33 left	1	Scarcity	Only 33 left	12	3
991	FAMILY SHADE PACK | PICK YOUR PACK	0	Not Dark Pattern	FAMILY SHADE PACK | PICK YOUR PACK	34	7
638	Promaster City Remotes	0	Not Dark Pattern	Promaster City Remotes	22	3
1217	Hurry, only a few left!	1	Scarcity	Hurry, only a few left!	23	5
1509	 V&A Collection People Tree’s collaboration with the Victoria and Albert Museum offers a stylish and contemporary capsule collection which celebrates the beauty and variety of pattern which the London museum is renowned for. 	0	Not Dark Pattern	V&A Collection People Tree’s collaboration with the Victoria and Albert Museum offers a stylish and contemporary capsule collection which celebrates the beauty and variety of pattern which the London museum is renowned for.	223	33
1115	Only 11 left!	1	Scarcity	Only 11 left!	13	3
1404	Hurry! Only 6 left in stock	1	Scarcity	Hurry! Only 6 left in stock	27	6
213	40 users are currently active on our website just now.	1	Social Proof	40 users are currently active on our website just now.	54	10
230	Hair Tools	0	Not Dark Pattern	Hair Tools	10	2
1429	Email Address*	0	Not Dark Pattern	Email Address*	14	2
1779	 Send Us Your Jersey 	0	Not Dark Pattern	Send Us Your Jersey	19	4
1468	 View All Home Office Furniture 	0	Not Dark Pattern	View All Home Office Furniture	30	5
1425	Search Result:Search Results: 	0	Not Dark Pattern	Search Result:Search Results:	29	3
1142	90% offers claimed. Hurry up!	1	Scarcity	90% offers claimed. Hurry up!	29	5
1536	Tube Tops	0	Not Dark Pattern	Tube Tops	9	2
21	"Mitchell H. Purchased a Dimplex IgniteXL 100"" Linear Built in Electric Fireplace"	1	Social Proof	"Mitchell H. Purchased a Dimplex IgniteXL 100"" Linear Built in Electric Fireplace"	80	12
230	Hair type: Wavy	0	Not Dark Pattern	Hair type: Wavy	15	3
215	7 people looked at this product in the last 24 hours.	1	Social Proof	7 people looked at this product in the last 24 hours.	53	11
527	Glow Gear	0	Not Dark Pattern	Glow Gear	9	2
1292	18 In Stock	1	Scarcity	18 In Stock	11	3
171	Someone in New Lynn bought a Kogan A1 Earphones with Inline Control for IOS/Android 1 hour ago.	1	Social Proof	Someone in New Lynn bought a Kogan A1 Earphones with Inline Control for IOS/Android 1 hour ago.	95	17
668	00:15:07:45	1	Urgency	00:15:07:45	11	1
315	No, I'll rather pay full price.	1	Misdirection	No, I'll rather pay full price.	31	6
1464	Only 9 Left.	1	Scarcity	Only 9 Left.	12	3
149	Deals of the Week	0	Not Dark Pattern	Deals of the Week	17	4
1667	 ... It covers love and loss, friendship and pain through 	0	Not Dark Pattern	... It covers love and loss, friendship and pain through	56	10
59	1 person is viewing this	1	Social Proof	1 person is viewing this	24	5
510	Your order is reserved for 09:14 minutes! 	1	Urgency	Your order is reserved for 09:14 minutes!	41	7
680	 Gift TypeFlowers, Cakes, Plants, etc. 	0	Not Dark Pattern	Gift TypeFlowers, Cakes, Plants, etc.	37	5
984	 CAMILLA World 	0	Not Dark Pattern	CAMILLA World	13	2
714	Sweep Train Simple A Line Tulle Wedding Dress with Appliques and Beading	0	Not Dark Pattern	Sweep Train Simple A Line Tulle Wedding Dress with Appliques and Beading	72	12
103	Fun Treat Tossing	0	Not Dark Pattern	Fun Treat Tossing	17	3
1024	Limited time remaining!	1	Urgency	Limited time remaining!	23	3
384	No thanks, I'll pay full price	1	Misdirection	No thanks, I'll pay full price	30	6
1434	Your shopping bag is empty...	0	Not Dark Pattern	Your shopping bag is empty...	29	5
209	Trousers & Chinos	0	Not Dark Pattern	Trousers & Chinos	17	3
1447	Only 7 left in stock!	1	Scarcity	Only 7 left in stock!	21	5
1272	Only 5 item(s) left.	1	Scarcity	Only 5 item(s) left.	20	4
664	 Chargers 	0	Not Dark Pattern	Chargers	8	1
1652	(only 5 left)	1	Scarcity	(only 5 left)	13	3
113	 Eyelashes 	0	Not Dark Pattern	Eyelashes	9	1
66	Pick the price that matches your budget. 	0	Not Dark Pattern	Pick the price that matches your budget.	40	7
212	Bringing the latest footwear, ‘fits and accessories from the biggest brands, the JD app makes coppin’ the hottest looks even easier!	0	Not Dark Pattern	Bringing the latest footwear, ‘fits and accessories from the biggest brands, the JD app makes coppin’ the hottest looks even easier!	132	21
1468	Child Safety	0	Not Dark Pattern	Child Safety	12	2
117	 Cosmic Rainbow 	0	Not Dark Pattern	Cosmic Rainbow	14	2
1488	NRA Annual Meetings & Exhibits	0	Not Dark Pattern	NRA Annual Meetings & Exhibits	30	5
1673	ShoesBootsCasual ShoesFormal ShoesSandals & Flip-flopsShoe Care & AccessoriesSlippersSneakers & CanvasSports Shoes	0	Not Dark Pattern	ShoesBootsCasual ShoesFormal ShoesSandals & Flip-flopsShoe Care & AccessoriesSlippersSneakers & CanvasSports Shoes	114	11
1317	 Moonstone Beads 	0	Not Dark Pattern	Moonstone Beads	15	2
400	I'll Shop Without A Discount	1	Misdirection	I'll Shop Without A Discount	28	5
1477	Only 11 Left In Stock	1	Scarcity	Only 11 Left In Stock	21	5
1446	 Netherlands Antilles USD	0	Not Dark Pattern	Netherlands Antilles USD	24	3
414	Was this product description useful?YesNo	0	Not Dark Pattern	Was this product description useful?YesNo	41	5
765	Returns Information	0	Not Dark Pattern	Returns Information	19	2
812	TiesToys & GamesTravelWatches	0	Not Dark Pattern	TiesToys & GamesTravelWatches	29	3
130	Bought by 39 people in last few hours! HOT SELLER!	1	Social Proof	Bought by 39 people in last few hours! HOT SELLER!	50	10
1381	Books and Stationery	0	Not Dark Pattern	Books and Stationery	20	3
494	Your order is reserved for 08:48 minutes!	1	Urgency	Your order is reserved for 08:48 minutes!	41	7
556	11 11 Hours: 00 22 Minutes: 3223 3223 Seconds	1	Urgency	11 11 Hours: 00 22 Minutes: 3223 3223 Seconds	45	9
1550	 Bioactive Custodians 	0	Not Dark Pattern	Bioactive Custodians	20	2
1330	 Most-Hearted Styles Shop Now 	0	Not Dark Pattern	Most-Hearted Styles Shop Now	28	4
1723	 Use a clean vase and clean water.	0	Not Dark Pattern	Use a clean vase and clean water.	33	7
1359	 well, this is awkward. 	0	Not Dark Pattern	well, this is awkward.	22	4
976	@elsieandpresley_ got some fantastic color results with our Hair Color Wax. Well done 👏	0	Not Dark Pattern	@elsieandpresley_ got some fantastic color results with our Hair Color Wax. Well done 👏	87	14
1409	 All Licensed 	0	Not Dark Pattern	All Licensed	12	2
133	Nursing chairs	0	Not Dark Pattern	Nursing chairs	14	2
1247	Only 1 Item(s) left	1	Scarcity	Only 1 Item(s) left	19	4
583	Discount pending $10 OFF 00:30:00	1	Urgency	Discount pending $10 OFF 00:30:00	33	5
149	Juniors' Shoes	0	Not Dark Pattern	Juniors' Shoes	14	2
1016	Limited Time: $10 Off! Discount Reflected In Price!	1	Urgency	Limited Time: $10 Off! Discount Reflected In Price!	51	8
1051	Switchers	0	Not Dark Pattern	Switchers	9	1
1158	 Data Processor Privacy Policy: https://cookieinformation.com/cookie-and-privacy-policy 	0	Not Dark Pattern	Data Processor Privacy Policy: https://cookieinformation.com/cookie-and-privacy-policy	86	5
1466	Ribbons	0	Not Dark Pattern	Ribbons	7	1
350	By clicking Sign Up, you agree to receive marketing text messages from Southern Tide at the number provided, including messages sent by autodialer. Consent is not a condition of any purchase. Message and data rates may apply. Message frequency varies. Reply HELP for help or STOP to cancel. View our Privacy Policy and Terms of Service.	0	Not Dark Pattern	By clicking Sign Up, you agree to receive marketing text messages from Southern Tide at the number provided, including messages sent by autodialer. Consent is not a condition of any purchase. Message and data rates may apply. Message frequency varies. Reply HELP for help or STOP to cancel. View our Privacy Policy and Terms of Service.	336	56
229	IN 43 PEOPLE'S SHOPPING BAG	1	Social Proof	IN 43 PEOPLE'S SHOPPING BAG	27	5
1317	 Amethyst Beads 	0	Not Dark Pattern	Amethyst Beads	14	2
300	Down Jackets	0	Not Dark Pattern	Down Jackets	12	2
502	Hurry up! Prices increase in 0 DAYS 11 HRS 59 MINS 55 SECS	1	Urgency	Hurry up! Prices increase in 0 DAYS 11 HRS 59 MINS 55 SECS	58	13
86	BERNARD in Philadelphia, United States purchased a	1	Social Proof	BERNARD in Philadelphia, United States purchased a	50	7
368	NO THANKS, I DON’T MIND MISSING OUT	1	Misdirection	NO THANKS, I DON’T MIND MISSING OUT	35	7
1198	Hurry, only 1 left!	1	Scarcity	Hurry, only 1 left!	19	4
1575	Only 26 Left	1	Scarcity	Only 26 Left	12	3
178	7 sold in last 24 hours	1	Social Proof	7 sold in last 24 hours	23	6
569	Buy Wearables»	0	Not Dark Pattern	Buy Wearables»	14	2
771	LAST CHANCE - UP TO 70% OFF - ENDS IN: 20 HRS 28 MINS 30 SECS	1	Urgency	LAST CHANCE - UP TO 70% OFF - ENDS IN: 20 HRS 28 MINS 30 SECS	61	16
907	 Watercolour Brushes Toggle category Watercolour Brushes 	0	Not Dark Pattern	Watercolour Brushes Toggle category Watercolour Brushes	55	6
729	LightInTheBox 掲載記事	0	Not Dark Pattern	LightInTheBox 掲載記事	18	2
108	Clear filter	0	Not Dark Pattern	Clear filter	12	2
825	HURRY UP > 09H 42M 39S	1	Urgency	HURRY UP > 09H 42M 39S	22	6
1409	 Sweats 	0	Not Dark Pattern	Sweats	6	1
976	Q: Will this damage my hair?	0	Not Dark Pattern	Q: Will this damage my hair?	28	6
1330	Brandon Blackwood	0	Not Dark Pattern	Brandon Blackwood	17	2
91	Someone in Sasebo, Japan just bought	1	Social Proof	Someone in Sasebo, Japan just bought	36	6
125	80 Customers are considering this product right now.	1	Social Proof	80 Customers are considering this product right now.	52	8
159	88 PEOPLE VIEWED ITEM IN THE LAST 24 HOURS	1	Social Proof	88 PEOPLE VIEWED ITEM IN THE LAST 24 HOURS	42	9
1468	 End Tables	0	Not Dark Pattern	End Tables	10	2
1235	ONLY 2 LEFT IN STOCK!	1	Scarcity	ONLY 2 LEFT IN STOCK!	21	5
1123	Only few items left in stock	1	Scarcity	Only few items left in stock	28	6
1535	Only 1.75 yards left in stock!	1	Scarcity	Only 1.75 yards left in stock!	30	6
688	 Brilliant! Chose what I wanted, and came a week later. Very happy with my purchase 	0	Not Dark Pattern	Brilliant! Chose what I wanted, and came a week later. Very happy with my purchase	82	15
267	71 people have purchased this item	1	Social Proof	71 people have purchased this item	34	6
1139	Only 8 left	1	Scarcity	Only 8 left	11	3
1749	Subscribe & Save	1	Misdirection	Subscribe & Save	16	3
803	We use cookies to improve our services, make personal offers, and enhance your experience. If you do not accept optional cookies below, your experience may be affected. If you want to know more, please, read the Cookie Policy	0	Not Dark Pattern	We use cookies to improve our services, make personal offers, and enhance your experience. If you do not accept optional cookies below, your experience may be affected. If you want to know more, please, read the Cookie Policy	225	38
79	Long Dress Style Beach Cover Up With Lace Detail Jessica in Metairie, United States	1	Social Proof	Long Dress Style Beach Cover Up With Lace Detail Jessica in Metairie, United States	83	14
8	Someone in Kilwinning, United Kingdom just bought Cuban Link Chain Bracelet	1	Social Proof	Someone in Kilwinning, United Kingdom just bought Cuban Link Chain Bracelet	75	11
509	00DAYS00HOURS14MINUTES21SECONDS	1	Urgency	00DAYS00HOURS14MINUTES21SECONDS	31	1
306	Great prices, professional customer services	0	Not Dark Pattern	Great prices, professional customer services	44	5
638	Carnival Remotes	0	Not Dark Pattern	Carnival Remotes	16	2
1659	Hurry! Only 1 left in size M!!	1	Scarcity	Hurry! Only 1 left in size M!!	30	7
946	Items in your cart are in high demand.	1	Scarcity	Items in your cart are in high demand.	38	8
1573	 VIP Points! 	0	Not Dark Pattern	VIP Points!	11	2
230	Root Touch Up + Brow Filler	0	Not Dark Pattern	Root Touch Up + Brow Filler	27	6
1639	Limited stock Only 2 left	1	Scarcity	Limited stock Only 2 left	25	5
1573	 Looks like your cart is empty, let's fix that! 	0	Not Dark Pattern	Looks like your cart is empty, let's fix that!	46	9
1209	Over 500 left in stock	1	Scarcity	Over 500 left in stock	22	5
1630	Lasers 	0	Not Dark Pattern	Lasers	6	1
264	Choose your payment day. View your schedule and select pay now.	0	Not Dark Pattern	Choose your payment day. View your schedule and select pay now.	63	11
199	Hurry up! 6 people other than you have this product in their cart	1	Social Proof	Hurry up! 6 people other than you have this product in their cart	65	13
1489	 E-Gift Cards 	0	Not Dark Pattern	E-Gift Cards	12	2
1168	1 LEFT	1	Scarcity	1 LEFT	6	2
252	Leslie in USA just Purchased Special Design Exclusive Handmade Silver Ring	1	Social Proof	Leslie in USA just Purchased Special Design Exclusive Handmade Silver Ring	74	11
680	 Personalised Chocolates 	0	Not Dark Pattern	Personalised Chocolates	23	2
1536	Shop Dresses by Occasion	0	Not Dark Pattern	Shop Dresses by Occasion	24	4
344	I do not want to protect my item	1	Misdirection	I do not want to protect my item	32	8
1713	Add to Your Gift and We'll Ship it For Free!	1	Misdirection	Add to Your Gift and We'll Ship it For Free!	44	10
1604	Wallets 	0	Not Dark Pattern	Wallets	7	1
1489	 Exclusive offers & discounts for club members via email 	0	Not Dark Pattern	Exclusive offers & discounts for club members via email	55	9
1056	Buy with humm.	0	Not Dark Pattern	Buy with humm.	14	3
1351	 Household Cleaning Kitchen Bathroom Eco Laundry General Cleaning Kitchenware Cook & Bakeware Food Storage & Preservation Kitchen Textiles Appliances Kitchen Appliances Household Appliances Bed, Bath & Living 	0	Not Dark Pattern	Household Cleaning Kitchen Bathroom Eco Laundry General Cleaning Kitchenware Cook & Bakeware Food Storage & Preservation Kitchen Textiles Appliances Kitchen Appliances Household Appliances Bed, Bath & Living	207	27
1009	Synthesis E-MTB Carbon Wheelset	0	Not Dark Pattern	Synthesis E-MTB Carbon Wheelset	31	4
84	25,439 people have viewed this item	1	Social Proof	25,439 people have viewed this item	35	6
379	No thanks I definitely measured correctly	1	Misdirection	No thanks I definitely measured correctly	41	6
181	57 PEOPLE HAVE LOOKED AT THIS TODAY	1	Social Proof	57 PEOPLE HAVE LOOKED AT THIS TODAY	35	7
65	Theresa from Botkins just bought Panoply 14918 A-line Lace Formal Dress	1	Social Proof	Theresa from Botkins just bought Panoply 14918 A-line Lace Formal Dress	71	11
1009	Women's ApparelCollection 	0	Not Dark Pattern	Women's ApparelCollection	25	2
1718	Before you check out, can we tempt you?	1	Misdirection	Before you check out, can we tempt you?	39	8
1328	 Women's Sandals 	0	Not Dark Pattern	Women's Sandals	15	2
1351	 Plant-Based Beauty 	0	Not Dark Pattern	Plant-Based Beauty	18	2
904	When you join the PetPlus Plan, you are given the option to purchase your membership on an annual or monthly basis and you are automatically enrolled in our recurring billing program. You may cancel at any time by contacting our customer service team, but you will not be refunded for any unused days on your membership if you choose to cancel prior to the end of your billing cycle. You may cancel your PetPlus membership at any time without penalty if you have not utilized any of your PetPlus benefits (including discounts on products and/or services). For customers charged on a monthly basis, if you have purchased products or used services using your PetPlus benefits, we will charge a $25 administrative fee per membership cancellation if the membership is cancelled within three months of enrollment.	1	Obstruction	When you join the PetPlus Plan, you are given the option to purchase your membership on an annual or monthly basis and you are automatically enrolled in our recurring billing program. You may cancel at any time by contacting our customer service team, but you will not be refunded for any unused days on your membership if you choose to cancel prior to the end of your billing cycle. You may cancel your PetPlus membership at any time without penalty if you have not utilized any of your PetPlus benefits (including discounts on products and/or services). For customers charged on a monthly basis, if you have purchased products or used services using your PetPlus benefits, we will charge a $25 administrative fee per membership cancellation if the membership is cancelled within three months of enrollment.	808	135
189	 Frame out of stock in this colour	0	Not Dark Pattern	Frame out of stock in this colour	33	7
1469	Hair Care Sets	0	Not Dark Pattern	Hair Care Sets	14	3
1332	Limited quantity remaining	1	Scarcity	Limited quantity remaining	26	3
1000	CareersAbout UsAffiliatesPrivacy SettingsAdvertise with usHelpSite map	0	Not Dark Pattern	CareersAbout UsAffiliatesPrivacy SettingsAdvertise with usHelpSite map	70	6
1686	128 sold today! Hurry, only a few left!	1	Scarcity	128 sold today! Hurry, only a few left!	39	8
303	4 people are looking at this right now.	1	Social Proof	4 people are looking at this right now.	39	8
335	No thanks, I dont want a discount	1	Misdirection	No thanks, I dont want a discount	33	7
235	Someone from Portland, United States (US) purchased MODALERT recently.	1	Social Proof	Someone from Portland, United States (US) purchased MODALERT recently.	70	9
1042	Limited Time Offer Limited Offer! 15% off on Naomi Home with Coupon 9N03. You pay $63.74	1	Urgency	Limited Time Offer Limited Offer! 15% off on Naomi Home with Coupon 9N03. You pay $63.74	88	16
151	2 people are viewing this	1	Social Proof	2 people are viewing this	25	5
1605	HURRY! ONLY 1 IN STOCK!	1	Scarcity	HURRY! ONLY 1 IN STOCK!	23	5
1304	Printed 	0	Not Dark Pattern	Printed	7	1
1044	Patient Transfer Devices	0	Not Dark Pattern	Patient Transfer Devices	24	3
622	 Summer Casual Printed Loosen Short Sleeve T-Shirt 	0	Not Dark Pattern	Summer Casual Printed Loosen Short Sleeve T-Shirt	49	7
622	 Summer V Neck Solid Color Short Sleeve Waffle T-Shirt 	0	Not Dark Pattern	Summer V Neck Solid Color Short Sleeve Waffle T-Shirt	53	9
1681	LAST CHANCE TO ACTIVATE 10% OFF	1	Scarcity	LAST CHANCE TO ACTIVATE 10% OFF	31	6
485	Your order is reserved for 09:45 minutes!	1	Urgency	Your order is reserved for 09:45 minutes!	41	7
1263	only 5 left	1	Scarcity	only 5 left	11	3
43	78 Persons looking for this product	1	Social Proof	78 Persons looking for this product	35	6
680	 Heart Shaped Cake 	0	Not Dark Pattern	Heart Shaped Cake	17	3
259	227 Bought Already	1	Social Proof	227 Bought Already	18	3
1026	You've made the starting lineup. Be on the look out for an exclusive offer for signing up.	0	Not Dark Pattern	You've made the starting lineup. Be on the look out for an exclusive offer for signing up.	90	17
766	Universal Fit Collapsible Smart Phone Stand	0	Not Dark Pattern	Universal Fit Collapsible Smart Phone Stand	43	6
1368	Hurry! Only Limited Items Left	1	Scarcity	Hurry! Only Limited Items Left	30	5
1646	現代奴隷法に対する透明性に関する声明 (opens in a new tab)	0	Not Dark Pattern	現代奴隷法に対する透明性に関する声明 (opens in a new tab)	39	6
941	Strong demand! Complete your order before it's too late!	1	Scarcity	Strong demand! Complete your order before it's too late!	56	9
550	Your order is reserved for 09:56 minutes!	1	Urgency	Your order is reserved for 09:56 minutes!	41	7
48	Sudha rana from Jaipur bought this product, 23 Mins ago.	1	Social Proof	Sudha rana from Jaipur bought this product, 23 Mins ago.	56	10
1466	Gift Wrapping Supplies	0	Not Dark Pattern	Gift Wrapping Supplies	22	3
308	6 others have already bought this deal today!	1	Social Proof	6 others have already bought this deal today!	45	8
